Country,Value
AED,0.2722
ARS,0.0104
AUD,0.7486
BGN,0.607
BHD,2.6525
BOB,0.1449
BRL,0.1925
CAD,0.8021
CHF,1.0918
CLP,0.0013
CNY,0.1544
COP,0.0003
CZK,0.0461
DKK,0.1594
EGP,0.0638
EUR,1.1853
GBP,1.3878
HKD,0.1287
HRK,0.1581
IDR,7.00E-05
ILS,0.3047
INR,0.0134
IQD,0.0007
IRR,0.000024
ISK,0.0081
JMD,0.0066
JOD,1.4105
JPY,0.0091
KES,0.0093
KRW,0.001
KWD,3.3246
LBP,0.0007
LKR,0.005
MAD,0.1122
MXN,0.0504
MYR,0.2386
NAD,0.0701
NGN,0.0024
NOK,0.1149
NPR,0.008
NZD,0.6982
OMR,2.5973
PHP,0.0199
PKR,0.006
PLN,0.2603
QAR,0.2746
RON,0.2406
RSD,0.0101
RUB,0.0134
SAR,0.2666
SEK,0.1166
SGD,0.7396
THB,0.0306
TRY,0.1159
TWD,0.0357
USD,1
UYU,0.0227
VND,4.00E-05
XAF,0.0018
XOF,0.0018
ZAR,0.0694
