Country,Value
AUS,1.453085
AUT,0.875506
BEL,0.875506
CAN,1.341153
CZE,23.21025
DNK,6.542152
FIN,0.875506
FRA,0.875506
DEU,0.875506
GRC,0.875506
HUN,307.996667
ISL,135.421712
IRL,0.875506
ITA,0.875506
JPN,106.774582
KOR,1180.276058
LUX,0.875506
MEX,21.485608
NLD,0.875506
NZL,1.542058
NOR,9.419493
POL,3.899742
PRT,0.875506
SVK,0.875506
ESP,0.875506
SWE,9.210309
CHE,0.938895
TUR,7.008605
GBR,0.78
USA,1
BRA,5.155179
CHL,792.727206
CHN,6.900767
COL,3694.854072
EST,0.875506
IND,74.104917
IDN,14582.20347
ISR,3.442406
RUS,72.104908
SVN,0.875506
ZAF,16.473187
LVA,0.875506
LTU,0.875506
SAU,3.75
EA19,0.875506
ARG,70.539167
CRI,584.900855
BGR,1.716333
HRV,6.614056
CYP,0.875506
MLT,0.875506
ROU,4.243992
MKD,54.144325
ZMB,18.331226
